"Cestna vozila konec leta (31.12.) glede na vrsto vozila in obèino, Slovenija, letno"

"VRSTA VOZILA","OBÈINE","2007","2008","2009","2010","2011","2012","2013","2014"
"Vozila - SKUPAJ","Radlje ob Dravi",3672,3855,3955,3983,4074,4141,4154,4214
"Vozila - SKUPAJ","Radovljica",11256,11685,11999,12160,12306,12332,12404,12533
"Vozila - SKUPAJ","Ravne na Koroškem",6506,6801,6890,6930,6998,6969,6965,6989
"Vozila - SKUPAJ","Razkrižje",844,880,912,915,925,924,937,955
"Vozila - SKUPAJ","Reèica ob Savinji",361,804,1146,1429,1686,1883,1992,2078
"Vozila - SKUPAJ","Renèe - Vogrsko",546,1212,1788,2470,3050,3472,3565,3618
"Vozila - SKUPAJ","Ribnica",6303,6638,6768,6887,7033,7166,7259,7369
"Vozila - SKUPAJ","Ribnica na Pohorju",701,755,775,793,820,812,823,835
"Vozila - SKUPAJ","Rogaška Slatina",6711,7136,7302,7417,7448,7562,7663,7845
"Vozila - SKUPAJ","Rogašovci",2279,2360,2372,2418,2471,2497,2513,2535
"Vozila - SKUPAJ","Rogatec",1746,1811,1852,1889,1936,1929,1983,1999
"Vozila - SKUPAJ","Ruše",4193,4293,4406,4410,4377,4364,4360,4378
"Vozila - SKUPAJ","Selnica ob Dravi",2879,2992,3054,3071,3098,3127,3141,3166
"Vozila - SKUPAJ","Semiè",2442,2556,2667,2672,2709,2751,2791,2857
"Vozila - SKUPAJ","Sevnica",11527,12223,12622,12724,12860,12966,13074,13260
"Vozila - SKUPAJ","Sežana",9650,10093,10276,10379,10472,10403,10426,10571
"Vozila - SKUPAJ","Slovenj Gradec",10484,10966,11093,11236,11420,11619,11777,11925
"Vozila - SKUPAJ","Slovenska Bistrica",18342,18425,18155,17814,17664,17464,17448,17665
"Vozila - SKUPAJ","Slovenske Konjice",9013,9575,9651,9758,9875,10007,10054,10390
"Vozila - SKUPAJ","Sodražica",1491,1565,1596,1616,1653,1662,1712,1742
"Vozila - SKUPAJ","Solèava",347,362,365,367,379,385,395,398
"Vozila - SKUPAJ","Središèe ob Dravi",259,553,793,1015,1230,1420,1566,1639
"Vozila - SKUPAJ","Starše",2726,2796,2870,2903,2932,2942,2923,2953
"Vozila - SKUPAJ","Straža",500,1094,1595,2005,2379,2600,2712,2766
"Vozila - SKUPAJ","Sveta Ana",1572,1628,1667,1677,1689,1738,1749,1767
"Vozila - SKUPAJ","Sveta Trojica v Slov. goricah",340,755,1137,1359,1537,1700,1723,1754
"Vozila - SKUPAJ","Sveti Andraž v Slov. goricah",790,825,859,881,919,960,973,976
"Vozila - SKUPAJ","Sveti Jurij ob Šèavnici",2202,2323,2373,2409,2473,2521,2556,2560
"Vozila - SKUPAJ","Sveti Jurij v Slov. goricah",300,682,1029,1245,1433,1539,1605,1633
"Vozila - SKUPAJ","Sveti Tomaž",252,582,788,1032,1248,1466,1631,1700
"Vozila - SKUPAJ","Šalovci",1205,1220,1245,1264,1300,1307,1328,1328
"Vozila - SKUPAJ","Šempeter - Vrtojba",5027,5155,5098,5116,5112,5063,5064,5082
"Vozila - SKUPAJ","Šenèur",5894,6292,6458,6550,6711,6722,6752,6818
"Vozila - SKUPAJ","Šentilj",5070,5265,5464,5490,5523,5630,5629,5691
"Vozila - SKUPAJ","Šentjernej",4764,4995,5101,5198,5424,5604,5710,5868
"Vozila - SKUPAJ","Šentjur",12184,12772,13009,13291,13494,13797,13958,14178
"Vozila - SKUPAJ","Šentrupert",313,780,1205,1583,1768,1915,1942,1967
"Vozila - SKUPAJ","Škocjan",2437,2538,2641,2673,2721,2770,2789,2838
"Vozila - SKUPAJ","Škofja Loka",13378,13842,13898,14047,14170,14293,14416,14586
"Vozila - SKUPAJ","Škofljica",5509,5815,6064,6200,6450,6662,6630,6799
"Vozila - SKUPAJ","Šmarje pri Jelšah",6438,6731,6912,7042,7287,7388,7545,7678
"Vozila - SKUPAJ","Šmarješke Toplice",464,1109,1565,1938,2169,2445,2520,2602
